"categorieSetId","categorieId","title","categorieSetNumber"
"160","NIL","VOID","VOID"
"161","NIL","VOID","VOID"
"162","NIL","VOID","VOID"
"163","NIL","VOID","VOID"
"164","NIL","VOID","VOID"
"165","NIL","VOID","VOID"
"166","NIL","VOID","VOID"
"167","NIL","VOID","VOID"
"168","NIL","VOID","VOID"
"169","6","Telekommunikation","6"
"170","6","Grundlagen der Telekommunikation","6.1"
"171","6","Analoge und digitale Signale","6.1.1"
"172","6","Grundbegriffe der Akkustik","6.1.2"
"173","6","Mikrofon und Hörer","6.1.3"
"174","6","Prinzip der telefonischen Übertragung","6.1.4"
"175","6","Analoge Telefonie","6.2"
"176","6","Grundschaltung des Telefons","6.2.1"
"177","6","Spannungen, Ströme, Frequenzen","6.2.2"
"178","6","Wahlverfahren","6.2.3"
"179","6","Zusatzdienste","6.2.4"
"180","6","Digitale Telefonie / ISDN","6.3"
"181","6","Grundlagen","6.3.1"
"182","6","Schnittstellen / NT","6.3.2"
"183","6","Installation","6.3.3"
"184","6","Zusatzdienste","6.3.4"
"185","NIL","VOID","VOID"
"186","7","Leuchten","7.10.4"
"187","6","Zusatzapparate","6.4"
"188","6","Zusatzwecker, Relais","6.4.1"
"189","6","Teilnehmervermittlungsanlagen","6.5"
"190","6","Grundlagen/Leistungsmerkmale","6.5.1"
"191","6","Spezielle Telefonnummern/notrufnummern","6.6.3"
"192","6","Taxierung","6.6"
"193","6","Taxierungssysteme","6.6.1"
"194","6","Alternative Netzanbieter","6.6.2"
"195","6","Netzwerke","6.7"
"196","6","Netzwerkstrukturen","6.7.2"
"197","6","Universelle Kommunikationsverkabelung","6.7.3"
"198","6","Kabel","6.7.4"
"199","6","Internetzugänge","6.7.6"
"200","NIL","VOID","VOID"
"201","6","Verbindungsarten","6.7.1"
"202","NIL","VOID","VOID"
"203","6","Lichtwellenleiter","6.7.5"
"204","NIL","VOID","VOID"
"205","6","Drahtlose Kommunikation","6.8"
"206","NIL","VOID","VOID"
"207","6","Telepage, PSA, DECT","6.8.1"
"208","6","Mobiltelefone","6.8.2"
"209","6","Fernmeldegesetz, Normen (RIT)","6.9"
"210","6","Begriffsbestimmungen","6.9.1"
"211","6","Ausführung der Hausinstallation","6.9.2"
"212","6","Trennstellen","6.9.3"
"213","6","Erstellen von Leitungen","6.9.4"
"214","6","Erdungs- und Überspannungsmassnahmen","6.9.5"
"215","NIL","VOID","VOID"
"216","NIL","VOID","VOID"
"217","NIL","VOID","VOID"
"218","NIL","VOID","VOID"
"219","NIL","VOID","VOID"
"220","NIL","VOID","VOID"
"221","NIL","VOID","VOID"
"222","NIL","VOID","VOID"
"223","NIL","VOID","VOID"
"224","NIL","VOID","VOID"
"225","NIL","VOID","VOID"
"226","NIL","VOID","VOID"
"227","NIL","VOID","VOID"
"228","NIL","VOID","VOID"
"229","NIL","VOID","VOID"
"230","NIL","VOID","VOID"
"231","NIL","VOID","VOID"
"232","NIL","VOID","VOID"
"233","3","Chemie","3"
"234","3","Grundlagen","3.1"
"235","3","Einteilung der Stoffe, Begriffe","3.1.1"
"236","3","Elemente, Atome","3.1.2"
"237","3","Chemische Verbindungen","3.2"
"238","3","Begriffe, Bindungsarten","3.2.1"
"239","3","Formeln, Gleichungen","3.2.2"
"240","3","Luft, Sauerstoff","3.2.3"
"241","3","Oxidation","3.2.4"
"242","3","Elektrolyte","3.3"
"243","3","Einführung","3.3.1"
"244","3","Säuren, Laugen","3.3.2"
"245","3","Salze","3.3.3"
"246","4","Werkstoffkunde","4"
"247","4","Grundlagen","4.1"
"248","4","Einteilung, Begriffe","4.1.1"
"249","4","Eisen und Stahl","4.2"
"250","4","Gewinnung und Herstellung","4.2.1"
